BusinessID,CoordinatesLongitude,InsertedAtTimestamp,Address,CoordinatesLatitude,Rating,Cuisine,ZipCode,Name,NumberOfReviews
nnat3QDogbkOGWR00jfPqw,-74.1256406,1555271051302,1285 Castleton Ave,40.634014,4,mexican,10310,Taqueria Puebla,17
duofsxNkSFWVre6eV1uhUQ,-73.99504,1555271080225,105 Bowery,40.71764,4,chinese,10002,Little Sheep Mongolian Hot Pot,224
IPHolyNKu-W1DPJKxWvKQw,-73.950729,1555270428162,1586 1st Ave,40.77452,4,japanese,10028,Inase Restaurant,126
wobICp6lQP7Y6dfnJ_4Ujw,-73.9811626,1555271130238,43 W 65th St,40.7727826,2.5,thai,10023,Shun Lee West & Cafe,442
vhqFa_0SG9M7Ra1OTmfB9A,-73.9704132080078,1555270466019,387 Myrtle Ave,40.6933631896973,4,italian,11205,LaRina Pastificio & Vino,114
mPHPVJ2-8mOR-lFHafrc6w,-73.971003,1555270467975,211 Dekalb Ave,40.689722,4.5,italian,11205,Evelina,115
MeQU-nGaQvX12VXYOyzavQ,-73.98161,1555270468724,98 Ave B,40.72474,4.5,italian,10009,Gruppo,237
SHG9wQ5PfyXDgJDYkrPu7Q,-73.9778,1555270461656,509 3rd Ave,40.7458699,4,italian,10016,Vago Restaurant,147
7FSuPGQTUxe-A2Km_SVTNQ,-73.92729,1555270471771,18-01 Astoria Blvd,40.7724,4.5,italian,11102,Trattoria Ora,44
60LpoBux4MKHBLiQJfMbYQ,-73.94261,1555270372790,2525 44th Dr,40.74751,4.5,indian,11101,Mysttik Masaala court square,10
rkTJsacxaZ3pU0g8AJmr0A,-73.9962961112732,1555271056537,206 7th Ave,40.7433018973893,4.5,mexican,10011,The Copper Still Chelsea,32
EqZEbtu-91BdCPd4chXPVw,-74.006735,1555270377858,102 Fulton St,40.70961,4,indian,10038,Magic Mix Juicery,170
U7QMrNTwRrPJ__0jbb6EYQ,-73.8929686,1555270371639,3566 73rd St,40.7495245,3.5,indian,11372,Dosa Delight,273
nXh79laNQ7leN92F5Ore-Q,-73.98979,1555271083172,27 Rutgers St,40.71294,4,chinese,10002,Forever Taste,32
r6K5RBfhlNbr-g7g3u13KA,-73.9863337576389,1555270472781,696 Anderson Ave,40.8283599182,4.5,italian,07010,L'angolo Trattoria Italiana,56
tDeF2wb5wpZzzGNYuh_tRg,-73.98188,1555270463918,2014 Broadway,40.77582,4,italian,10023,Sole Bistro Italiano,39
uucP1LoFyamFS0qDwgMXbg,-74.0033,1555270364705,283 Bleecker St,40.73194,4,indian,10014,Ghandi Cafe,351
M1YYZ9cTVuMXLji_XF6rzg,-73.9845427163755,1555271039993,373 Park Ave S,40.7421567897168,3.5,mexican,10016,Dos Caminos,1106
hkCrlw-Yt7uyIFBACg79qA,-73.95121,1555270481031,345 E 83rd St,40.77535,3.5,italian,10028,Gino's Pizza,160
7-TRXxFP0biboasNZgH8Kg,-73.8456908445185,1555271052322,14-33 College Point Blvd,40.7845218790648,4.5,mexican,11356,Carniceria Y Taqueria  El Novillo,12
VaL9GaBR_GR-q9d1VzJF3g,-74.00194,1555270426204,24 Peck Slip,40.70788,4,japanese,10038,Suteishi,450
8dKgnx7EVuVVO6D40LTwjw,-74.0112896,1555270480260,101 Liberty St,40.7096522,4,italian,10006,Vino e Grano,8
jva4AMX7zRkNsY3DKX9LlQ,-73.9923629760742,1555270438574,,40.7491302490234,5,japanese,10001,Harajuku Sushi and Crepe,12
JFGHmvKmzW_TP6NjdvoWow,-74.0437098965049,1555270375905,131 Erie St,40.7266075564457,2.5,indian,07302,Lotus Progressive Indian Cuisine,34
liGIz8CzhyS1udx1aefjng,-73.9588799,1555271119507,212 Bedford Ave,40.71699,4,thai,11249,Williamsburg Thai Cuisine,185
WJS06XxRdc6DD1s4LWE9HA,-73.9927,1555271116943,55 Bond St,40.7258,4,thai,10012,Fish Cheeks,341
38VMh0KbFDmy0femXXof2w,-73.99845,1555271081247,232 Broad Ave,40.84629,4,chinese,07650,Son Ja Jang,156
m6sYBuozGY1JhnHlBf1Bzg,-73.994404,1555270426198,6 Bond St,40.726934,4,japanese,10012,BondSt,914
TsO4cjFld0Plznpimtn8uw,-73.9510338753462,1555270478137,3508 Broadway,40.8253616094589,4,italian,10031,Anchor Wine Bar,256
u6q1s6c0H9wQwFUJJzAiOw,-74.0184892569177,1555270474797,20 Battery Pl,40.7052055368065,3.5,italian,10004,Gigino At Wagner Park,247
lP8uDU4oNEkPD8-Ik-PvQQ,-73.970716,1555270364686,2588 Broadway,40.79583,3.5,indian,10025,Awadh,280
q6ux26c-SfK-679y9lvVbw,-73.94766,1555270472816,196 Lenox Ave,40.80435,3.5,italian,10026,Settepani,192
aJJlY5xvqS180wtRIHEWqA,-74.00357,1555270462625,21 Bedford St,40.72903,4,italian,10014,Cotenna,359
RdGWCbcxA79G1ZMPVL3SGQ,-73.95625,1555271128166,176 N 9th St,40.71864,3,thai,11211,Nora Thai,13
KtYEMI-_zy5hoZTBd3i3Tw,-73.92315,1555270369673,125 Ralph Ave,40.6858099,3.5,indian,11221,Indian Curry Heights,56
Nj4x1DEPDk2gCxm3h_AkKw,-74.003982,1555271050513,886 5th Ave,40.651542,3.5,mexican,11232,Maria's Bistro Mexicano,237
ku3TyaUBEkuQtQXKq80Zlg,-73.9992751,1555271089283,220 Canal St,40.717346,3,chinese,10013,Sun Sai Gai Restaurant,218
ColGPMmJOa6YD44fjS6wfg,-74.03116,1555271123346,234 Bloomfield St,40.74007,3.5,thai,07030,Sri Thai Thai Restaurant,188
e-G1yC5u8LOcQ-fx0Lxthw,-73.92799,1555270437279,156 Knickerbocker Ave,40.70416,4.5,japanese,11237,Ajihei Bushwick,55
5fUY5sq00VMPdb1SDJWBug,-73.9436286145434,1555271049532,189 Graham Ave,40.7085765328962,3.5,mexican,11226,New Mexico Place,183
u4nEt-zMNnDNoZib_XuSlw,-74.01065,1555271119831,38 Water St,40.70332,3,thai,10004,OBAO,201
bB8dHfAEJrF5tNcHr0yJjA,-73.99142,1555270427276,34 Cooper Sq,40.72822,4,japanese,10003,Gyu-Kaku Japanese BBQ,1607
